"Source","Target","weight",".tidygraph_edge_index"
1,2,1,6273
1,3,1,6274
2,3,1,14649
1,4,1,6275
2,4,1,14650
3,4,1,17617
4,5,1,18999
1,6,1,6277
2,6,1,36002
3,6,1,36003
4,6,1,36004
1,7,1,6278
2,7,1,14652
3,7,1,37117
4,7,1,37118
6,7,1,36007
1,8,1,6279
2,8,1,14653
3,8,1,38484
4,8,1,38485
6,8,1,36008
7,8,1,37120
1,9,1,6280
2,9,1,14654
3,9,1,45960
4,9,1,45961
6,9,1,36010
7,9,1,45963
8,9,1,45964
1,10,1,6276
2,10,1,14651
3,10,1,17618
4,10,1,18997
6,10,1,36005
7,10,1,37119
8,10,1,38486
9,10,1,45962
4,11,1,18998
12,13,2,21641
12,14,1,1088
12,15,1,1086
12,16,1,1087
13,16,1,21644
12,17,1,1089
18,19,1,4816
18,20,3,2704
18,21,2,2705
20,21,2,17414
18,22,3,2706
20,22,2,22204
20,22,1,17415
21,22,2,22205
18,23,4,2707
19,23,1,4817
20,23,3,17416
21,23,2,18551
22,23,3,22206
18,24,2,2709
20,24,2,17417
21,24,2,30972
22,24,2,22207
23,24,2,30973
18,25,1,2710
19,25,1,40105
19,25,2,4818
23,25,1,40106
18,26,1,2708
27,28,1,3559
27,28,2,3557
28,29,1,25909
27,30,2,3558
28,30,2,3560
27,31,1,33649
28,31,1,3561
28,32,1,3562
29,32,1,25910
33,34,1,9190
33,35,1,8352
33,36,2,8353
33,37,1,32816
35,37,1,32817
33,38,2,8355
36,38,2,19722
33,39,1,8354
40,41,1,29459
41,42,1,29460
41,43,1,29461
42,43,1,39893
41,44,1,29462
42,44,1,43283
43,44,1,43286
41,45,1,43419
42,45,1,43421
43,45,1,43423
44,45,2,43425
40,46,1,5601
41,46,1,29463
47,48,1,6540
47,50,1,37757
48,50,1,37758
47,51,1,6543
48,51,1,6733
49,51,1,32160
50,51,1,37759
