"Source","Target","Weigh"
"AUSTRALIA","CANADA",2
"AUSTRALIA","CHILE",2
"AUSTRALIA","DENMARK",3
"AUSTRALIA","INDONESIA",1
"AUSTRALIA","ITALY",3
"AUSTRALIA","MALAYSIA",2
"AUSTRALIA","NETHERLANDS",6
"AUSTRALIA","NEW ZEALAND",3
"AUSTRALIA","PORTUGAL",2
"AUSTRALIA","RUSSIA",2
"AUSTRALIA","SPAIN",2
"AUSTRALIA","SRI LANKA",2
"AUSTRALIA","UNITED KINGDOM",3
"AUSTRIA","FINLAND",2
"AUSTRIA","FRANCE",2
"AUSTRIA","GERMANY",1
"AUSTRIA","ITALY",4
"AUSTRIA","NETHERLANDS",2
"AUSTRIA","SWITZERLAND",1
"AUSTRIA","USA",2
"BAHRAIN","UNITED KINGDOM",1
"BANGLADESH","MALAYSIA",3
"BELARUS","FRANCE",2
"BELARUS","SWEDEN",2
"BELGIUM","CANADA",2
"BELGIUM","CHINA",2
"BELGIUM","DENMARK",2
"BELGIUM","FRANCE",2
"BELGIUM","GERMANY",1
"BELGIUM","UNITED KINGDOM",2
"BELGIUM","USA",2
"BRAZIL","CANADA",3
"BRAZIL","CHINA",2
"BRAZIL","FINLAND",2
"BRAZIL","FRANCE",1
"BRAZIL","MALAYSIA",2
"BRAZIL","PORTUGAL",3
"BRAZIL","SWITZERLAND",3
"BRAZIL","USA",3
"CANADA","FRANCE",4
"CANADA","SWITZERLAND",3
"CANADA","UKRAINE",1
"CANADA","UNITED KINGDOM",3
"CANADA","USA",9
"CHILE","SPAIN",3
"CHINA","GERMANY",2
"CHINA","GHANA",2
"CHINA","JAPAN",1
"CHINA","MALAYSIA",2
"CHINA","NETHERLANDS",2
"CHINA","NEW ZEALAND",3
"CHINA","PAKISTAN",3
"CHINA","USA",11
"COLOMBIA","CUBA",3
"COLOMBIA","ECUADOR",1
"COLOMBIA","MEXICO",1
"DENMARK","GERMANY",4
"DENMARK","ITALY",6
"DENMARK","NETHERLANDS",3
"DENMARK","NORWAY",1
"DENMARK","USA",1
"ECUADOR","MEXICO",1
"ECUADOR","SPAIN",3
"ESTONIA","FINLAND",1
"FINLAND","ITALY",2
"FINLAND","NORWAY",1
"FINLAND","SWEDEN",1
"FINLAND","UNITED KINGDOM",2
"FINLAND","USA",7
"FRANCE","IRELAND",2
"FRANCE","ITALY",6
"FRANCE","SPAIN",3
"FRANCE","SWEDEN",2
"FRANCE","THAILAND",3
"FRANCE","TUNISIA",1
"FRANCE","UNITED KINGDOM",2
"FRANCE","USA",5
"GERMANY","ITALY",3
"GERMANY","NETHERLANDS",3
"GERMANY","SWEDEN",5
"GERMANY","UNITED KINGDOM",1
"GERMANY","USA",7
"HONG KONG","USA",2
"INDIA","SINGAPORE",1
"INDIA","UNITED KINGDOM",1
"INDIA","USA",2
"INDONESIA","MALAYSIA",3
"INDONESIA","USA",2
"IRAN","MALAYSIA",1
"IRELAND","NETHERLANDS",3
"ITALY","NETHERLANDS",4
"ITALY","NORWAY",1
"ITALY","POLAND",1
"ITALY","ROMANIA",1
"ITALY","SPAIN",4
"ITALY","SWEDEN",5
"ITALY","TURKEY",1
"ITALY","UNITED KINGDOM",3
"ITALY","USA",5
"KAZAKHSTAN","UNITED KINGDOM",1
"KOREA","USA",1
"LITHUANIA","SWITZERLAND",1
"MALAYSIA","CHINA",2
"MEXICO","SPAIN",2
"NETHERLANDS","NORWAY",3
"NETHERLANDS","RUSSIA",2
"NETHERLANDS","SPAIN",1
"NETHERLANDS","SWITZERLAND",5
"NETHERLANDS","UNITED KINGDOM",1
"NETHERLANDS","USA",5
"NEW ZEALAND","U ARAB EMIRATES",2
"NEW ZEALAND","UNITED ARAB EMIRATES",1
"NORWAY","POLAND",1
"NORWAY","SLOVENIA",1
"NORWAY","SWEDEN",4
"NORWAY","USA",4
"POLAND","SLOVENIA",3
"POLAND","SWEDEN",4
"POLAND","USA",1
"PORTUGAL","SWITZERLAND",3
"SPAIN","UNITED KINGDOM",1
"SPAIN","USA",4
"SWEDEN","UNITED KINGDOM",1
"SWEDEN","USA",5
"SWITZERLAND","UNITED KINGDOM",1
"TUNISIA","UNITED KINGDOM",1
"TURKEY","UNITED KINGDOM",1
"UNITED KINGDOM","FINLAND",2
"UNITED KINGDOM","FRANCE",2
"UNITED KINGDOM","GREECE",2
"UNITED KINGDOM","INDIA",2
"UNITED KINGDOM","KAZAKHSTAN",2
"UNITED KINGDOM","MALAYSIA",2
"UNITED KINGDOM","NETHERLANDS",2
"UNITED KINGDOM","RUSSIA",2
"UNITED KINGDOM","SPAIN",2
"UNITED KINGDOM","SWITZERLAND",2
"UNITED KINGDOM","USA",4
